World Rank	Institution	Location	National Rank	Education Rank	Employability Rank	Faculty Rank	Research Rank	Score
771	Institute for Nuclear Research of the Russian Academy of Sciences	Russia	11	-	-	-	730	71.8
772	Kent State University	USA	181	-	-	-	731	71.7
773	University of Lübeck	Germany	47	-	-	-	732	71.7
774	University of Essex	United Kingdom	50	517	654	-	748	71.7
775	Shandong University of Science and Technology	China	112	-	833	-	738	71.7
776	Marche Polytechnic University	Italy	40	-	-	-	736	71.7
777	University of Girona	Spain	25	-	-	-	737	71.7
778	National University of Colombia	Colombia	2	-	856	-	746	71.7
779	Osaka City University	Japan	26	236	434	-	782	71.7
780	Örebro University	Sweden	12	-	946	-	747	71.7
781	Henan University	China	113	-	-	-	739	71.7
782	Chongqing Medical University	China	114	-	-	-	740	71.7
783	Putra University, Malaysia	Malaysia	2	-	1561	-	741	71.7
784	Ain Shams University	Egypt	2	-	-	-	742	71.7
785	Kaohsiung Medical University	Taiwan	10	-	-	-	743	71.6
786	University of Vigo	Spain	26	-	-	-	744	71.6
787	Norwegian University of Life Sciences	Norway	5	-	1013	-	751	71.6
788	Anhui University	China	115	-	948	-	753	71.6
789	University of Science, Malaysia	Malaysia	3	-	-	-	749	71.6
790	Amirkabir University of Technology	Iran	7	-	-	-	750	71.6
791	SUNY Downstate Medical Center	USA	182	-	-	148	996	71.6
792	Graduate School, GRINM	China	116	-	24	-	-	71.6
793	China University of Petroleum-Beijing	China	117	-	742	-	759	71.6
794	University of the Balearic Islands	Spain	27	-	-	-	754	71.6
795	Yerevan Physics Institute	Armenia	1	-	-	-	755	71.6
796	University of Natural Resources and Life Sciences, Vienna	Austria	8	-	-	-	756	71.6
797	University of Wuppertal	Germany	48	-	-	-	757	71.6
798	Ohio University	USA	183	396	379	-	792	71.6
799	Harbin Engineering University	China	118	-	-	-	761	71.5
800	University of Patras	Greece	6	-	-	-	762	71.5
801	University of Montana	USA	184	272	-	-	769	71.5
802	Ningbo University	China	119	-	1210	-	763	71.5
803	University of Split	Croatia	2	-	-	-	764	71.5
804	University of North Carolina at Charlotte	USA	185	-	712	-	770	71.5
805	University of Hohenheim	Germany	49	-	-	-	765	71.5
806	Centrale Lille Institut	France	35	-	94	-	1000	71.5
807	Carl von Ossietzky University of Oldenburg	Germany	50	-	-	-	766	71.5
808	National Research University Higher School of Economics	Russia	12	-	-	-	767	71.5
809	University of Rhode Island	USA	186	-	557	-	785	71.5
810	University of Messina	Italy	41	-	-	-	768	71.5
811	Belarusian State University	Belarus	1	-	-	-	771	71.5
812	National Taiwan University of Science and Technology	Taiwan	11	-	741	-	778	71.5
813	Gwangju Institute of Science and Technology	South Korea	25	-	-	-	772	71.4
814	Gyeongsang National University	South Korea	26	-	-	-	773	71.4
815	USI - University of Italian Speaking Switzerland	Switzerland	11	-	-	-	774	71.4
816	Jawaharlal Nehru University	India	10	492	-	86	1244	71.4
817	Open University, UK	United Kingdom	51	-	1650	-	777	71.4
818	Adam Mickiewicz University in Poznań	Poland	6	-	-	-	779	71.4
819	University of Alcalá	Spain	28	-	-	-	780	71.4
820	University of Siegen	Germany	51	-	1558	-	781	71.4
