World Rank,Institution,Location,Year,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
230,Yeshiva University,USA,2024,75.0,84.0,1001.0,200.0,266.0,78.2
231,Kiel University,Germany,2024,18.0,353.0,1001.0,143.0,258.0,78.2
232,City University of Hong Kong,China,2024,29.0,551.0,1001.0,284.0,179.0,78.1
233,Lomonosov Moscow State University,Russia,2024,1.0,134.0,404.0,207.0,255.0,78.1
234,Brandeis University,USA,2024,76.0,29.0,245.0,47.0,701.0,78.1
235,University of Cincinnati,USA,2024,77.0,496.0,266.0,284.0,201.0,78.1
236,Hokkaido University,Japan,2024,9.0,346.0,231.0,165.0,275.0,78.1
237,University of Miami,USA,2024,78.0,551.0,233.0,284.0,204.0,78.0
238,University of Erlangen–Nuremberg,Germany,2024,19.0,432.0,855.0,284.0,183.0,78.0
239,KAIST,South Korea,2024,5.0,551.0,126.0,284.0,228.0,78.0
240,Beihang University,China,2024,30.0,551.0,859.0,284.0,184.0,78.0
241,University of Missouri–Columbia,USA,2024,79.0,436.0,253.0,87.0,331.0,78.0
242,Université libre de Bruxelles,Belgium,2024,4.0,449.0,353.0,173.0,261.0,77.9
243,University of Illinois at Chicago,USA,2024,80.0,501.0,779.0,279.0,196.0,77.9
244,Complutense University of Madrid,Spain,2024,3.0,208.0,188.0,222.0,267.0,77.9
245,University of Turin,Italy,2024,5.0,244.0,1001.0,284.0,192.0,77.9
246,University of Leicester,United Kingdom,2024,21.0,551.0,1001.0,96.0,296.0,77.9
247,Charles University in Prague,Czech Republic,2024,1.0,320.0,1001.0,284.0,191.0,77.8
248,University of Sussex,United Kingdom,2024,22.0,112.0,575.0,81.0,368.0,77.8
249,King Abdullah University of Science and Technology,Saudi Arabia,2024,1.0,551.0,1001.0,102.0,291.0,77.8
250,Trinity College Dublin,Ireland,2024,1.0,207.0,86.0,248.0,304.0,77.8
251,Karlsruhe Institute of Technology,Germany,2024,20.0,472.0,259.0,284.0,208.0,77.8
252,Kyushu University,Japan,2024,10.0,253.0,128.0,284.0,242.0,77.8
253,University of Naples Federico II,Italy,2024,6.0,551.0,795.0,284.0,195.0,77.7
254,King Abdulaziz University,Saudi Arabia,2024,2.0,551.0,1001.0,284.0,193.0,77.7
255,University of Texas Health Science Center at Houston,USA,2024,81.0,551.0,1001.0,150.0,274.0,77.7
256,Maastricht University,Netherlands,2024,9.0,551.0,1001.0,284.0,199.0,77.7
257,University of Exeter,United Kingdom,2024,23.0,401.0,847.0,284.0,202.0,77.7
258,Dalian University of Technology,China,2024,31.0,551.0,279.0,284.0,217.0,77.6
259,Zhengzhou University,China,2024,32.0,551.0,1001.0,284.0,206.0,77.6
260,Wake Forest University,USA,2024,82.0,551.0,71.0,284.0,315.0,77.6
261,University of Houston,USA,2024,83.0,551.0,185.0,126.0,345.0,77.6
262,Colorado State University,USA,2024,84.0,448.0,1001.0,196.0,260.0,77.6
263,"University of California, Riverside",USA,2024,85.0,390.0,1001.0,214.0,252.0,77.6
264,University of Reading,United Kingdom,2024,24.0,127.0,146.0,110.0,418.0,77.5
265,Beijing Institute of Technology,China,2024,33.0,551.0,825.0,284.0,209.0,77.5
266,Virginia Commonwealth University,USA,2024,86.0,551.0,950.0,119.0,310.0,77.5
267,University of Florence,Italy,2024,7.0,551.0,759.0,284.0,215.0,77.5
268,The Scripps Research Institute,USA,2024,87.0,551.0,1001.0,34.0,438.0,77.5
269,Oregon Health & Science University,USA,2024,88.0,551.0,1001.0,284.0,213.0,77.4
270,Delft University of Technology,Netherlands,2024,10.0,261.0,449.0,284.0,225.0,77.4
271,University of Cape Town,South Africa,2024,1.0,175.0,218.0,284.0,248.0,77.4
272,China Europe International Business School,China,2024,34.0,551.0,5.0,284.0,1001.0,77.4
273,HEC Paris,France,2024,15.0,551.0,7.0,284.0,1001.0,77.4
274,Hunan University,China,2024,35.0,551.0,566.0,284.0,222.0,77.4
275,University of Auckland,New Zealand,2024,1.0,515.0,414.0,284.0,227.0,77.3
276,University of Electronic Science and Technology of China,China,2024,36.0,551.0,677.0,284.0,221.0,77.3
277,Leipzig University,Germany,2024,21.0,201.0,1001.0,209.0,278.0,77.3
278,Medical University of Vienna,Austria,2024,2.0,551.0,1001.0,284.0,223.0,77.3
279,George Washington University,USA,2024,89.0,398.0,143.0,284.0,279.0,77.3
280,Virginia Tech,USA,2024,90.0,504.0,323.0,284.0,238.0,77.3
281,National Autonomous University of Mexico,Mexico,2024,1.0,403.0,1001.0,240.0,265.0,77.2
282,National and Kapodistrian University of Athens,Greece,2024,1.0,551.0,562.0,284.0,231.0,77.2
283,University of Lorraine,France,2024,16.0,543.0,506.0,174.0,302.0,77.2
284,Oregon State University,USA,2024,91.0,232.0,557.0,219.0,287.0,77.2
285,Beijing Normal University,China,2024,37.0,551.0,1001.0,284.0,230.0,77.2
286,University of Genoa,Italy,2024,8.0,541.0,1001.0,246.0,268.0,77.1
287,Chongqing University,China,2024,38.0,551.0,428.0,284.0,243.0,77.1
288,University of Pisa,Italy,2024,9.0,313.0,1001.0,284.0,233.0,77.1
289,University of Manitoba,Canada,2024,11.0,318.0,310.0,192.0,314.0,77.1
290,University of Liège,Belgium,2024,5.0,186.0,1001.0,103.0,376.0,77.1
291,University of the Witwatersrand,South Africa,2024,2.0,205.0,96.0,284.0,339.0,77.1
292,P.N. Lebedev Physical Institute of the Russian Academy of Sciences,Russia,2024,2.0,31.0,1001.0,120.0,616.0,77.0
293,University of Tsukuba,Japan,2024,11.0,551.0,1001.0,149.0,337.0,77.0
294,University of Southern Denmark,Denmark,2024,4.0,551.0,1001.0,284.0,234.0,77.0
295,University of Bergen,Norway,2024,3.0,385.0,1001.0,284.0,241.0,77.0
296,University of Valencia,Spain,2024,4.0,551.0,1001.0,284.0,239.0,77.0
297,University of Antwerp,Belgium,2024,6.0,493.0,430.0,284.0,254.0,77.0
298,Shenzhen University,China,2024,39.0,551.0,801.0,284.0,246.0,77.0
299,University of Lille,France,2024,17.0,551.0,1001.0,284.0,244.0,76.9
300,Laval University,Canada,2024,12.0,526.0,372.0,284.0,263.0,76.9
301,University College Dublin,Ireland,2024,2.0,551.0,298.0,284.0,271.0,76.9
302,Northwestern Polytechnical University,China,2024,40.0,551.0,432.0,284.0,262.0,76.9
303,University of East Anglia,United Kingdom,2024,25.0,97.0,1001.0,171.0,383.0,76.9
304,Autonomous University of Madrid,Spain,2024,5.0,551.0,1001.0,284.0,249.0,76.9
305,Florida State University,USA,2024,92.0,551.0,537.0,284.0,259.0,76.8
306,"University of Maryland, Baltimore",USA,2024,93.0,551.0,1001.0,284.0,250.0,76.8
307,University of Porto,Portugal,2024,2.0,540.0,764.0,284.0,256.0,76.8
308,Washington State University,USA,2024,94.0,551.0,1001.0,180.0,329.0,76.8
309,University of Duisburg-Essen,Germany,2024,22.0,551.0,908.0,284.0,264.0,76.8
310,University of Aberdeen,United Kingdom,2024,26.0,290.0,833.0,156.0,361.0,76.8
311,University of Massachusetts Chan Medical School,USA,2024,95.0,551.0,1001.0,85.0,416.0,76.7
312,University at Buffalo,USA,2024,96.0,551.0,624.0,284.0,272.0,76.7
313,University of Kentucky,USA,2024,97.0,289.0,541.0,284.0,276.0,76.7
314,University of South Florida,USA,2024,98.0,551.0,841.0,284.0,270.0,76.7
315,University of Rennes,France,2024,18.0,551.0,1001.0,284.0,269.0,76.7
316,Hanyang University,South Korea,2024,6.0,551.0,202.0,284.0,298.0,76.7
317,University of Delaware,USA,2024,99.0,373.0,433.0,165.0,371.0,76.7
318,China Agricultural University,China,2024,41.0,551.0,1001.0,284.0,273.0,76.6
319,National Yang Ming Chiao Tung University,Taiwan,2024,2.0,551.0,213.0,284.0,300.0,76.6
320,Ruhr University Bochum,Germany,2024,23.0,551.0,426.0,284.0,285.0,76.6
321,University of Pavia,Italy,2024,10.0,484.0,875.0,222.0,330.0,76.6
322,Peking Union Medical College,China,2024,42.0,551.0,1001.0,284.0,277.0,76.6
323,"University of California, Santa Cruz",USA,2024,100.0,368.0,1001.0,268.0,295.0,76.6
324,University of Nebraska–Lincoln,USA,2024,101.0,167.0,368.0,284.0,303.0,76.5
325,Queen's University,Canada,2024,13.0,477.0,413.0,217.0,356.0,76.5
326,Lanzhou University,China,2024,43.0,551.0,1001.0,284.0,283.0,76.5
327,Wayne State University,USA,2024,102.0,487.0,418.0,284.0,290.0,76.5
328,Capital Medical University,China,2024,44.0,551.0,1001.0,284.0,286.0,76.5
